epoch,split,loss,acc,lr,duration_s
0,train,0.6979262766838074,0.49,0.01,0.6807718276977539
0,eval,0.691850878238678,0.584,0.01,0.005046367645263672
1,train,0.6925068645477295,0.506,0.01,0.04605984687805176
1,eval,0.6911719560623169,0.616,0.01,0.007996797561645508
2,train,0.6921287569999695,0.514,0.01,0.055589914321899414
2,eval,0.6895191798210144,0.504,0.01,0.004985809326171875
3,train,0.6932939081192017,0.54,0.01,0.062252044677734375
3,eval,0.6884591250419617,0.504,0.01,0.004000186920166016
4,train,0.6915158371925354,0.508,0.01,0.06093907356262207
4,eval,0.6874663181304932,0.52,0.01,0.00500035285949707
5,train,0.6875791487693786,0.704,0.01,0.050184011459350586
5,eval,0.6851440076828003,0.632,0.01,0.006815910339355469
6,train,0.6865027117729187,0.55,0.01,0.04600358009338379
6,eval,0.6832567200660705,0.528,0.01,0.006000518798828125
7,train,0.6857146286964416,0.546,0.01,0.048004150390625
7,eval,0.6815733275413514,0.68,0.01,0.005126476287841797
8,train,0.6830443568229675,0.644,0.01,0.054795265197753906
8,eval,0.6789639005661011,0.616,0.01,0.006999492645263672
9,train,0.6796833958625793,0.666,0.01,0.06501960754394531
9,eval,0.676068148612976,0.808,0.01,0.010999917984008789
10,train,0.6775633053779602,0.63,0.01,0.04625368118286133
10,eval,0.6728326954841614,0.864,0.01,0.0047435760498046875
11,train,0.6780819325447083,0.566,0.01,0.06413054466247559
11,eval,0.6691686491966248,0.728,0.01,0.01100015640258789
12,train,0.6717845540046692,0.688,0.01,0.053917646408081055
12,eval,0.6650808596611023,0.752,0.01,0.005001068115234375
13,train,0.6689375696182251,0.672,0.01,0.05234527587890625
13,eval,0.6615147948265075,0.752,0.01,0.00599980354309082
14,train,0.6675183882713318,0.61,0.01,0.04606175422668457
14,eval,0.6569392251968383,0.728,0.01,0.005907535552978516
15,train,0.6614932322502136,0.688,0.01,0.04887747764587402
15,eval,0.6514204840660095,0.776,0.01,0.004530191421508789
16,train,0.6533494219779968,0.754,0.01,0.05409097671508789
16,eval,0.6462994365692138,0.864,0.01,0.007523775100708008
17,train,0.649389760017395,0.726,0.01,0.04880928993225098
17,eval,0.6404689741134644,0.776,0.01,0.00758051872253418
18,train,0.6451253809928894,0.774,0.01,0.05627584457397461
18,eval,0.6344129486083985,0.84,0.01,0.007725238800048828
19,train,0.6384222497940063,0.816,0.01,0.04125475883483887
19,eval,0.6277147979736328,0.784,0.01,0.00500178337097168
20,train,0.6306439318656921,0.818,0.01,0.04900383949279785
20,eval,0.6207778105735778,0.768,0.01,0.005902290344238281
21,train,0.6250210342407226,0.786,0.01,0.04825019836425781
21,eval,0.613893235206604,0.92,0.01,0.005092144012451172
22,train,0.619140989780426,0.818,0.01,0.05100107192993164
22,eval,0.607254855632782,0.768,0.01,0.00500035285949707
23,train,0.6097829284667968,0.848,0.01,0.04447770118713379
23,eval,0.5977823042869568,0.896,0.01,0.005000114440917969
24,train,0.6008152060508728,0.884,0.01,0.05569124221801758
24,eval,0.5904163331985474,0.92,0.01,0.00458216667175293
25,train,0.5975333776473999,0.824,0.01,0.042179107666015625
25,eval,0.5826727776527405,0.864,0.01,0.005820035934448242
26,train,0.586195378780365,0.888,0.01,0.04625368118286133
26,eval,0.5735778551101685,0.928,0.01,0.007235050201416016
27,train,0.5803566627502441,0.866,0.01,0.05826139450073242
27,eval,0.5665883374214172,0.88,0.01,0.00722813606262207
28,train,0.5703134932518006,0.844,0.01,0.06006622314453125
28,eval,0.5590619235038757,0.912,0.01,0.005933284759521484
29,train,0.5662438678741455,0.902,0.01,0.059488773345947266
29,eval,0.5490658750534058,0.928,0.01,0.011622905731201172
30,train,0.5546697096824647,0.922,0.01,0.05599689483642578
30,eval,0.5413455243110656,0.896,0.01,0.007001161575317383
31,train,0.5496584396362305,0.892,0.01,0.04499530792236328
31,eval,0.5315950112342834,0.928,0.01,0.0040090084075927734
32,train,0.542446204662323,0.916,0.01,0.04353642463684082
32,eval,0.5236610922813415,0.944,0.01,0.005996227264404297
33,train,0.5306975798606872,0.928,0.01,0.04199647903442383
33,eval,0.5156655220985412,0.944,0.01,0.006542205810546875
34,train,0.5228602271080017,0.906,0.01,0.039999961853027344
34,eval,0.5058942618370056,0.968,0.01,0.004997968673706055
35,train,0.5174239058494567,0.94,0.01,0.04123640060424805
35,eval,0.5022641935348511,0.896,0.01,0.0027616024017333984
36,train,0.5056098370552063,0.95,0.01,0.03695845603942871
36,eval,0.4898340702056885,0.944,0.01,0.004998922348022461
37,train,0.5010344729423523,0.924,0.01,0.03800010681152344
37,eval,0.48058774065971377,0.976,0.01,0.0069997310638427734
38,train,0.49581691312789916,0.918,0.01,0.03729987144470215
38,eval,0.47381701731681825,0.976,0.01,0.003316164016723633
39,train,0.48384388971328735,0.95,0.01,0.04306936264038086
39,eval,0.4650621268749237,0.984,0.01,0.0030384063720703125
40,train,0.4788516252040863,0.952,0.01,0.04319143295288086
40,eval,0.45780315017700196,0.936,0.01,0.0038814544677734375
41,train,0.46948704481124875,0.948,0.01,0.03890705108642578
41,eval,0.4500587089061737,0.976,0.01,0.006182670593261719
42,train,0.46210750651359556,0.96,0.01,0.043169498443603516
42,eval,0.4434422125816345,0.952,0.01,0.0030303001403808594
43,train,0.4529897940158844,0.962,0.01,0.04399561882019043
43,eval,0.4373432946205139,0.976,0.01,0.0070002079010009766
44,train,0.44735838103294373,0.962,0.01,0.04399991035461426
44,eval,0.4266355872154236,0.976,0.01,0.0065534114837646484
45,train,0.4456068875789642,0.94,0.01,0.04303479194641113
45,eval,0.4284286561012268,0.936,0.01,0.0033829212188720703
46,train,0.4357302083969116,0.94,0.01,0.03408217430114746
46,eval,0.41786684799194335,0.944,0.01,0.003541231155395508
47,train,0.42847134566307066,0.95,0.01,0.04970145225524902
47,eval,0.4063275270462036,0.976,0.01,0.006991863250732422
48,train,0.42231199860572816,0.964,0.01,0.04804515838623047
48,eval,0.39866343832015994,0.992,0.01,0.006999969482421875
49,train,0.4143957316875458,0.958,0.01,0.04107046127319336
49,eval,0.3943405630588531,0.968,0.01,0.003254413604736328
50,train,0.4104206578731537,0.958,0.01,0.04428911209106445
50,eval,0.3932191481590271,0.944,0.01,0.007710695266723633
51,train,0.40847847604751586,0.948,0.01,0.04852771759033203
51,eval,0.3818285071849823,0.976,0.01,0.007330179214477539
52,train,0.39698455595970156,0.954,0.01,0.032907724380493164
52,eval,0.37568208527565,0.968,0.01,0.003996849060058594
53,train,0.39343898320198056,0.954,0.01,0.04475140571594238
53,eval,0.37103098607063295,0.984,0.01,0.002996683120727539
54,train,0.38474392008781433,0.954,0.01,0.03999972343444824
54,eval,0.363146164894104,0.968,0.01,0.004472017288208008
55,train,0.3802680900096893,0.97,0.01,0.04400038719177246
55,eval,0.35665999913215635,0.984,0.01,0.0046083927154541016
56,train,0.3728922603130341,0.966,0.01,0.03400015830993652
56,eval,0.3505555295944214,0.968,0.01,0.003999948501586914
57,train,0.3654734039306641,0.964,0.01,0.04107499122619629
57,eval,0.34640159487724304,0.984,0.01,0.003922462463378906
58,train,0.3605858685970306,0.968,0.01,0.037000179290771484
58,eval,0.3396038906574249,0.976,0.01,0.004178047180175781
59,train,0.35649490237236026,0.972,0.01,0.04800009727478027
59,eval,0.3321887226104736,0.992,0.01,0.003534078598022461
60,train,0.3489451680183411,0.974,0.01,0.03500008583068848
60,eval,0.3325101456642151,0.984,0.01,0.0031135082244873047
61,train,0.3451671998500824,0.97,0.01,0.04163074493408203
61,eval,0.3219321768283844,1.0,0.01,0.006933450698852539
62,train,0.3404480955600738,0.968,0.01,0.039000511169433594
62,eval,0.3183328366279602,0.976,0.01,0.006999969482421875
63,train,0.3356615912914276,0.97,0.01,0.042524099349975586
63,eval,0.3122363679409027,1.0,0.01,0.004476070404052734
64,train,0.3285287721157074,0.972,0.01,0.04799985885620117
64,eval,0.30897308349609376,1.0,0.01,0.005003452301025391
65,train,0.32483011865615846,0.97,0.01,0.04599952697753906
65,eval,0.30356799840927123,0.976,0.01,0.004002571105957031
66,train,0.32486331367492677,0.976,0.01,0.043998003005981445
66,eval,0.3024785084724426,1.0,0.01,0.007000446319580078
67,train,0.3159236915111542,0.966,0.01,0.04302716255187988
67,eval,0.2932357709407806,0.992,0.01,0.003996133804321289
68,train,0.30951994395256044,0.974,0.01,0.0440068244934082
68,eval,0.2909850239753723,1.0,0.01,0.004161834716796875
69,train,0.30614489245414733,0.972,0.01,0.04400014877319336
69,eval,0.2854954249858856,0.984,0.01,0.004996061325073242
70,train,0.3044885890483856,0.968,0.01,0.047827959060668945
70,eval,0.2802474718093872,1.0,0.01,0.005266427993774414
71,train,0.2996849155426025,0.966,0.01,0.04508042335510254
71,eval,0.2826994986534119,1.0,0.01,0.004916667938232422
72,train,0.2945553523302078,0.972,0.01,0.03799915313720703
72,eval,0.27213687562942507,0.992,0.01,0.0031762123107910156
73,train,0.2904628508090973,0.972,0.01,0.0409998893737793
73,eval,0.26784842133522035,0.984,0.01,0.006000041961669922
74,train,0.2858724579811096,0.976,0.01,0.04699993133544922
74,eval,0.2680768880844116,1.0,0.01,0.004335641860961914
75,train,0.2837628800868988,0.968,0.01,0.0409998893737793
75,eval,0.2612826075553894,1.0,0.01,0.003999948501586914
76,train,0.2807376036643982,0.972,0.01,0.0410003662109375
76,eval,0.2588156235218048,1.0,0.01,0.0072307586669921875
77,train,0.28006139349937437,0.98,0.01,0.034377098083496094
77,eval,0.25492523455619814,0.976,0.01,0.003000020980834961
78,train,0.27330382919311524,0.97,0.01,0.04561328887939453
78,eval,0.2500453795194626,0.992,0.01,0.0062103271484375
79,train,0.2685202281475067,0.972,0.01,0.04700279235839844
79,eval,0.24722919607162475,0.984,0.01,0.00500035285949707
80,train,0.27081868100166323,0.976,0.01,0.03800201416015625
80,eval,0.24475172829627992,0.984,0.01,0.004000425338745117
81,train,0.2624562542438507,0.97,0.01,0.03997921943664551
81,eval,0.23994589805603028,1.0,0.01,0.004000186920166016
82,train,0.2606930253505707,0.972,0.01,0.03900027275085449
82,eval,0.23620641529560088,0.992,0.01,0.003999948501586914
83,train,0.2554489425420761,0.97,0.01,0.04599952697753906
83,eval,0.23574588000774382,0.992,0.01,0.005000114440917969
84,train,0.2534595741033554,0.976,0.01,0.04357743263244629
84,eval,0.23065962898731232,0.984,0.01,0.006053924560546875
85,train,0.25011593735218046,0.966,0.01,0.0376589298248291
85,eval,0.23826377367973328,0.984,0.01,0.009137153625488281
86,train,0.25037222301959994,0.97,0.01,0.03892803192138672
86,eval,0.22480504441261293,0.992,0.01,0.0032334327697753906
87,train,0.24280552089214325,0.978,0.01,0.04600048065185547
87,eval,0.2254438045024872,1.0,0.01,0.00457763671875
88,train,0.2409199469089508,0.976,0.01,0.04584002494812012
88,eval,0.2202649997472763,1.0,0.01,0.0070002079010009766
89,train,0.23821914851665496,0.972,0.01,0.03400015830993652
89,eval,0.21789022386074067,0.992,0.01,0.003999948501586914
90,train,0.23509152817726137,0.978,0.01,0.03624582290649414
90,eval,0.21766459965705873,1.0,0.01,0.0039021968841552734
91,train,0.23601519405841828,0.968,0.01,0.035132646560668945
91,eval,0.21669883406162263,1.0,0.01,0.004601001739501953
92,train,0.22981246161460878,0.976,0.01,0.0426020622253418
92,eval,0.20928929197788237,0.984,0.01,0.004330873489379883
93,train,0.22534515011310577,0.976,0.01,0.03380393981933594
93,eval,0.2074880186319351,1.0,0.01,0.0033032894134521484
94,train,0.2254026347398758,0.97,0.01,0.04785513877868652
94,eval,0.20431039547920227,0.992,0.01,0.004999637603759766
95,train,0.2227192863225937,0.978,0.01,0.03999900817871094
95,eval,0.20250955951213837,0.984,0.01,0.004001140594482422
96,train,0.2200446228981018,0.976,0.01,0.035951852798461914
96,eval,0.20388103353977202,1.0,0.01,0.0037200450897216797
97,train,0.21990711998939513,0.976,0.01,0.03300046920776367
97,eval,0.1976263084411621,1.0,0.01,0.0039997100830078125
98,train,0.21513529896736144,0.972,0.01,0.033659934997558594
98,eval,0.1962355830669403,1.0,0.01,0.003999948501586914
99,train,0.21188341784477233,0.974,0.01,0.04400038719177246
99,eval,0.19407677853107452,0.984,0.01,0.0039997100830078125
